artist_name,number_of_appearances,brand_id
Frédéric Chopin,37,1
Bob Moses,37,1
Salt-N-Pepa,37,1
Roxy Music,37,1
Myles Smith,37,1
Rosa Linn,37,1
MARINA,37,1
Olivia,37,1
Colby O'Donis,37,1
James Morrison,37,1
Axwell /\ Ingrosso,37,1
Clementine Douglas,37,1
Jeremy Zucker,37,1
D.O.D,37,1
Rvssian,37,1
Cannons,37,1
Carlos Rivera,37,1
Pabllo Vittar,37,1
Sofiya Nzau,37,1
Nio Garcia,37,1
Eros Ramazzotti,37,1
Duki,37,1
St. Vincent,37,1
Men At Work,37,1
Digital Farm Animals,36,1
Tiago PZK,36,1
The Temptations,36,1
Freshlyground,36,1
DJ Koze,36,1
Møme,36,1
Jean Tonique,36,1
Maribou State,36,1
Elizabeth Fraser,36,1
The Cinematic Orchestra,36,1
Feist,36,1
Laura Branigan,36,1
Smash Mouth,36,1
The Kooks,36,1
Meek Mill,36,1
Bakar,36,1
Chromatics,36,1
Mark Ambor,36,1
Imogen Heap,36,1
girl in red,36,1
League of Legends,36,1
CKay,36,1
kai,36,1
Hoobastank,36,1
Stormzy,36,1
Rich Brian,36,1
Lennon Stella,36,1
Omah Lay,36,1
Aminé,36,1
Kiiara,36,1
Fitz and The Tantrums,36,1
FAST BOY,36,1
Zendaya,36,1
Monolink,36,1
Los Ángeles Azules,36,1
Miguel Bosé,36,1
Claude Debussy,36,1
Daecolm,36,1
Cumbiafrica,36,1
Take That,36,1
Run–D.M.C.,36,1
Candi Staton,36,1
Noah Kahan,36,1
4 Non Blondes,35,1
DRAMA,35,1
Jamie Foxx,35,1
The Avener,35,1
cassö,35,1
Abraham Mateo,35,1
LL COOL J,35,1
Johnny Cash,35,1
CeeLo Green,35,1
Franc Moody,35,1
Paolo Nutini,35,1
Ashanti,35,1
Toro y Moi,35,1
Darius,35,1
Beastie Boys,35,1
Tensnake,35,1
Sage The Gemini,35,1
Peter Bjorn and John,35,1
Jack Ü,35,1
Foreigner,35,1
Brandy,35,1
Nick Jonas,35,1
Will Heard,35,1
Christine and the Queens,35,1
Kavinsky,35,1
Andy Grammer,35,1
HVME,35,1
blackbear,35,1
Nickelback,35,1
Gnarls Barkley,35,1
GoonRock,35,1
Axwell,35,1
Victoria Monét,35,1
Chromeo,35,1
Doechii,35,1
James Carter,35,1
Kid Ink,35,1
Olly Murs,35,1
Like Mike,35,1
Peggy Lee,35,1
Matt Sassari,35,1
Loreen,35,1
Katrina & The Waves,35,1
Édith Piaf,35,1
Lalo Ebratt,35,1
Stevie Nicks,35,1
Master KG,35,1
Scorpions,35,1
Los Del Rio,35,1
Stevie Appleton,35,1
Mau P,35,1
Robin S,35,1
Technotronic,35,1
Tom Walker,35,1
A$AP Ferg,35,1
Rozalén,35,1
Alvaro Soler,35,1
Christian Nodal,35,1
Jennifer Hudson,35,1
FloyyMenor,35,1
Count Basie,35,1
Lou Reed,35,1
Chet Baker,34,1
Popcaan,34,1
Snoh Aalegra,34,1
Black Sabbath,34,1
Rex Orange County,34,1
Redman,34,1
Jowell & Randy,34,1
Ñengo Flow,34,1
Owl City,34,1
Pyotr Ilyich Tchaikovsky,34,1
Tori Kelly,34,1
Kenny Dope,34,1
112,34,1
Gus Dapperton,34,1
A.R. Rahman,34,1
Vika Jigulina,34,1
Adam Lambert,34,1
Mark Knight,34,1
The Bangles,34,1
Tujamo,34,1
RHODES,34,1
Parson James,34,1
Lily-Rose Depp,34,1
Paulina Rubio,34,1
Julio Iglesias,34,1
Paulo Londra,34,1
John Travolta,34,1
Bonnie Tyler,34,1
Rels B,34,1
America,34,1
Faithless,34,1
Jet,34,1
BUNT.,34,1
Julia Church,34,1
Molella,34,1
Greeicy,34,1
Mon Laferte,34,1
Ximena Sariñana,34,1
Florida Georgia Line,34,1
DMX,34,1
CNCO,34,1
Various Artists,33,1
The Game,33,1
Jamie Cullum,33,1
Estopa,33,1
Guaynaa,33,1
zzoilo,33,1
Eladio Carrion,33,1
James Brown,33,1
KISS,33,1
Mina,33,1
Françoise Hardy,33,1
NAV,33,1
The Vamps,33,1
Kings of Convenience,33,1
Alabama Shakes,33,1
The Japanese House,33,1
Luther Vandross,33,1
Biig Piig,33,1
Carly Simon,33,1
Em Beihold,33,1
Laufey,33,1
WEISS,33,1
Silk City,33,1
Sophie and the Giants,33,1
Astrid S,33,1
mgk,33,1
gnash,33,1
Olivia O'Brien,33,1
Glee Cast,33,1
Modern Talking,33,1
Supertramp,33,1
Trinix,33,1
Starship,33,1
New Radicals,33,1
Travis,33,1
Phil Jay,33,1
Disturbed,33,1
Evaluna Montaner,33,1
Joaquín Sabina,33,1
Nate Ruess,33,1
Grupo Frontera,33,1
Baby Keem,33,1
Neil Diamond,33,1
Billy Ocean,33,1
Billy Ray Cyrus,33,1
SNAP!,33,1
Dove Cameron,33,1
George Harrison,32,1
